la cosecha, harvest
las fresas, strawberries
recoger, to gather
las cajas, boxes
disminuir, diminish
así es, that's how
esconderse, to hide
gritar, to shout
tras, after
rumbo a, towards
de repente, suddenly
el peso, weight
llenar, to fill
lágrimas, tears
mudarse, to move
encender, to turn on
orgulloso, proud
el derecho, the right
escoger, to choose
el ruido, noise
la apariencia, appearance
los sonidos, sounds
el dueño, owner
la olla, pot
el piso, floor
alejarse, to get off/depart
seguir, to follow
las filas, rows
quedarse, to stay
la temporada, season
gastado, worn
apenas, barely
el techo, roof
ponerse a, begin
agujeros, holes
dar de comer, feed
árboles, trees
